"fragment_type","fragment_id","release_path","artifact_count","source_text_redistributed"
"sections","section_1_1","fragments/sections/section_1_1/main_ir.a4v3","28","False"
"sections","section_1_2","fragments/sections/section_1_2/main_ir.a4v3","34","False"
"sections","section_1_3","fragments/sections/section_1_3/main_ir.a4v3","31","False"
"sections","section_1_4","fragments/sections/section_1_4/main_ir.a4v3","36","False"
"sections","section_1_5","fragments/sections/section_1_5/main_ir.a4v3","33","False"
"sections","section_2_1","fragments/sections/section_2_1/main_ir.a4v3","34","False"
"sections","section_2_2","fragments/sections/section_2_2/main_ir.a4v3","36","False"
"sections","section_2_3","fragments/sections/section_2_3/main_ir.a4v3","37","False"
"sections","section_3_1","fragments/sections/section_3_1/main_ir.a4v3","33","False"
"sections","section_3_2","fragments/sections/section_3_2/main_ir.a4v3","33","False"
"sections","section_4_1","fragments/sections/section_4_1/main_ir.a4v3","36","False"
"sections","section_4_2","fragments/sections/section_4_2/main_ir.a4v3","31","False"
"sections","section_4_3","fragments/sections/section_4_3/main_ir.a4v3","33","False"
"sections","section_4_4","fragments/sections/section_4_4/main_ir.a4v3","33","False"
"sections","section_4_5","fragments/sections/section_4_5/main_ir.a4v3","36","False"
"sections","section_4_6","fragments/sections/section_4_6/main_ir.a4v3","36","False"
"sections","section_4_7","fragments/sections/section_4_7/main_ir.a4v3","36","False"
"sections","section_5_1","fragments/sections/section_5_1/main_ir.a4v3","27","False"
"sections","section_5_2","fragments/sections/section_5_2/main_ir.a4v3","28","False"
"sections","section_5_3","fragments/sections/section_5_3/main_ir.a4v3","36","False"
"sections","section_5_4","fragments/sections/section_5_4/main_ir.a4v3","34","False"
"sections","section_5_5","fragments/sections/section_5_5/main_ir.a4v3","31","False"
"definitions","N01","fragments/definitions/N01/main_ir.a4v3","27","False"
"definitions","N02","fragments/definitions/N02/main_ir.a4v3","33","False"
"definitions","N03","fragments/definitions/N03/main_ir.a4v3","33","False"
"definitions","N04","fragments/definitions/N04/main_ir.a4v3","33","False"
"definitions","N05","fragments/definitions/N05/main_ir.a4v3","33","False"
"definitions","N06","fragments/definitions/N06/main_ir.a4v3","33","False"
"definitions","N07","fragments/definitions/N07/main_ir.a4v3","27","False"
"definitions","N08","fragments/definitions/N08/main_ir.a4v3","29","False"
"definitions","N09","fragments/definitions/N09/main_ir.a4v3","27","False"
"definitions","N10","fragments/definitions/N10/main_ir.a4v3","27","False"
"definitions","N11","fragments/definitions/N11/main_ir.a4v3","31","False"
"definitions","N12","fragments/definitions/N12/main_ir.a4v3","27","False"
"definitions","N13","fragments/definitions/N13/main_ir.a4v3","27","False"
"definitions","N14","fragments/definitions/N14/main_ir.a4v3","27","False"
"definitions","N15","fragments/definitions/N15/main_ir.a4v3","33","False"
"definitions","N16","fragments/definitions/N16/main_ir.a4v3","33","False"
"definitions","N17","fragments/definitions/N17/main_ir.a4v3","33","False"
"definitions","N18","fragments/definitions/N18/main_ir.a4v3","33","False"
"definitions","N19","fragments/definitions/N19/main_ir.a4v3","33","False"
"definitions","N20","fragments/definitions/N20/main_ir.a4v3","33","False"
"definitions","N21","fragments/definitions/N21/main_ir.a4v3","33","False"
"definitions","N22","fragments/definitions/N22/main_ir.a4v3","33","False"
"definitions","N23","fragments/definitions/N23/main_ir.a4v3","33","False"
"definitions","N24","fragments/definitions/N24/main_ir.a4v3","33","False"
"definitions","N25","fragments/definitions/N25/main_ir.a4v3","33","False"
"definitions","N26","fragments/definitions/N26/main_ir.a4v3","28","False"
"definitions","N27","fragments/definitions/N27/main_ir.a4v3","27","False"
"definitions","N28","fragments/definitions/N28/main_ir.a4v3","33","False"
"definitions","N29","fragments/definitions/N29/main_ir.a4v3","33","False"
"definitions","N30","fragments/definitions/N30/main_ir.a4v3","33","False"
"definitions","N31","fragments/definitions/N31/main_ir.a4v3","28","False"
"definitions","N32","fragments/definitions/N32/main_ir.a4v3","33","False"
"appendix","appendix_8_1","fragments/appendix/appendix_8_1/main_ir.a4v3","30","False"
